label,scenario,n_atoms,charge,n_bonds,E_sp_eV,E_relax_eV,converged,steps,E_form_eV,E_form_per_bond_eV
Fe3+_D_BTC_EDTA_EDDA_BTC[s2]_BTC[s2]_EDDA[s1]_planar_q-5,D,59,-5,5,-3642.429,-3652.445,False,35,-48.479,-9.696
Fe3+_D_BTC_EDTA_EDDA_BTC[s2]_EDDA[s1]_EDDA[s1]_tetrahedral_q-4,D,63,-4,4,-3510.112,-3515.918,True,28,-53.339,-13.335
Fe3+_D_BTC_EDTA_EDDA_BTC[s2]_planar_q+0,D,19,0,2,-1306.693,-1312.542,False,35,-50.469,-25.234
Fe3+_D_BTC_EDTA_EDDA_EDDA[s1]_EDDA[s1]_planar_q-1,D,45,-1,2,-2268.996,-2271.259,True,29,-50.319,-25.16
Fe3+_D_BTC_EDTA_EDDA_EDDA[s4]_tetrahedral_q+1,D,23,1,4,-1156.89,-1162.818,False,35,-42.132,-10.533
Fe3+_D_BTC_EDTA_EDDA_EDTA[s1]_EDDA[s1]_EDDA[s1]_planar_q-5,D,77,-5,3,-4074.119,-4079.9,False,35,-53.182,-17.727
Fe3+_D_BTC_EDTA_EDDA_EDTA[s1]_EDDA[s1]_planar_q-3,D,55,-3,2,-2980.777,-2985.63,False,35,-59.165,-29.582
Fe3+_D_BTC_EDTA_EDDA_EDTA[s1]_EDTA[s1]_planar_q-5,D,65,-5,2,-3684.354,-3691.005,True,35,-59.015,-29.507
Fe3+_D_BTC_EDTA_EDDA_EDTA[s4]_planar_q-1,D,33,-1,4,-1876.364,-1887.505,False,35,-61.293,-15.323
Fe3+_D_BTC_EDTA_EDDA_EDTA[s4]_tetrahedral_q-1,D,33,-1,4,-1876.252,-1888.205,False,35,-61.993,-15.498
Fe3+_D_BTC_EDTA_EDDA_EDTA[s6]_octahedral_q-1,D,33,-1,6,-1876.609,-1888.555,False,35,-62.342,-10.39
